"TargetModule","Coverage"
"algorithms.arrays.delete_nth","1.0"
"algorithms.arrays.flatten","1.0"
"algorithms.arrays.garage","0.8181818181818182"
"algorithms.arrays.josephus","1.0"
"algorithms.arrays.limit","1.0"
"algorithms.arrays.longest_non_repeat","1.0"
"algorithms.arrays.max_ones_index","1.0"
"algorithms.arrays.merge_intervals","0.9696969696969697"
"algorithms.arrays.missing_ranges","1.0"
"algorithms.arrays.move_zeros","1.0"
"algorithms.arrays.n_sum","0.8958333333333334"
"algorithms.arrays.plus_one","0.8571428571428571"
"algorithms.arrays.remove_duplicates","1.0"
"algorithms.arrays.rotate","1.0"
"algorithms.arrays.summarize_ranges","1.0"
"algorithms.arrays.three_sum","0.6451612903225806"
"algorithms.arrays.top_1","1.0"
"algorithms.arrays.trimmean","1.0"
"algorithms.arrays.two_sum","1.0"
"algorithms.automata.dfa","0.8888888888888888"
"algorithms.backtrack.add_operators","1.0"
"algorithms.backtrack.anagram","1.0"
"algorithms.backtrack.array_sum_combinations","1.0"
"algorithms.backtrack.combination_sum","1.0"
"algorithms.backtrack.factor_combinations","0.9444444444444444"
"algorithms.backtrack.find_words","1.0"
"algorithms.backtrack.generate_abbreviations","1.0"
"algorithms.backtrack.generate_parenthesis","1.0"
"algorithms.backtrack.letter_combination","1.0"
"algorithms.backtrack.palindrome_partitioning","1.0"
"algorithms.backtrack.pattern_match","1.0"
"algorithms.backtrack.permute","1.0"
"algorithms.backtrack.permute_unique","1.0"
"algorithms.backtrack.subsets","1.0"
"algorithms.backtrack.subsets_unique","1.0"
"algorithms.bfs.count_islands","0.9655172413793104"
"algorithms.bfs.maze_search","0.9655172413793104"
"algorithms.bfs.shortest_distance_from_all_buildings","0.7804878048780488"
"algorithms.bfs.word_ladder","0.7714285714285715"
"algorithms.bit.add_bitwise_operator","1.0"
"algorithms.bit.bit_operation","1.0"
"algorithms.bit.bytes_int_conversion","1.0"
"algorithms.bit.count_flips_to_convert","1.0"
"algorithms.bit.count_ones","1.0"
"algorithms.bit.find_difference","1.0"
"algorithms.bit.find_missing_number","1.0"
"algorithms.bit.flip_bit_longest_sequence","0.9090909090909091"
"algorithms.bit.has_alternative_bit","0.9090909090909091"
"algorithms.bit.insert_bit","1.0"
"algorithms.bit.power_of_two","1.0"
"algorithms.bit.remove_bit","1.0"
"algorithms.bit.reverse_bits","0.8"
"algorithms.bit.single_number2","1.0"
"algorithms.bit.single_number3","1.0"
"algorithms.bit.single_number","1.0"
"algorithms.bit.subsets","1.0"
"algorithms.bit.swap_pair","1.0"
"algorithms.compression.elias","1.0"
"algorithms.compression.huffman_coding","0.38317757009345793"
"algorithms.compression.rle_compression","1.0"
"algorithms.dfs.all_factors","0.9583333333333334"
"algorithms.dfs.count_islands","1.0"
"algorithms.dfs.maze_search","1.0"
"algorithms.dfs.pacific_atlantic","1.0"
"algorithms.dfs.sudoku_solver","0.3409090909090909"
"algorithms.dfs.walls_and_gates","1.0"
"algorithms.distribution.histogram","1.0"
"algorithms.dp.buy_sell_stock","1.0"
"algorithms.dp.coin_change","1.0"
"algorithms.dp.combination_sum","1.0"
"algorithms.dp.edit_distance","1.0"
"algorithms.arrays.garage","0.8181818181818182"
"algorithms.arrays.limit","1.0"
"algorithms.arrays.longest_non_repeat","1.0"
"algorithms.arrays.merge_intervals","0.9696969696969697"
"algorithms.arrays.missing_ranges","1.0"
"algorithms.arrays.n_sum","0.8125"
"algorithms.arrays.rotate","1.0"
"algorithms.arrays.summarize_ranges","1.0"
"algorithms.arrays.three_sum","0.6451612903225806"
"algorithms.automata.dfa","0.8888888888888888"
"algorithms.backtrack.add_operators","1.0"
"algorithms.backtrack.letter_combination","1.0"
"algorithms.backtrack.palindrome_partitioning","1.0"
"algorithms.backtrack.pattern_match","1.0"
"algorithms.backtrack.permute","1.0"
"algorithms.bfs.maze_search","0.9655172413793104"
"algorithms.bfs.shortest_distance_from_all_buildings","0.926829268292683"
"algorithms.bfs.word_ladder","0.8"
"algorithms.bit.flip_bit_longest_sequence","0.9090909090909091"
"algorithms.bit.has_alternative_bit","0.9090909090909091"
"algorithms.compression.huffman_coding","0.38317757009345793"
